keyword,kpi_month,content_type,content_name,url,published_at,added_at
AI 보안,2026-06,온드미디어,[링크드인] 보안 기획기사,https://www.linkedin.com/feed/update/urn:li:activity:7470387721887391744/,2026-06-10,2026-06-29 04:16:49
정보보안,2026-06,온드미디어,보안 기획기사,https://www.linkedin.com/feed/update/urn:li:activity:7470387721887391744/,2026-06-10,2026-06-29 04:17:16
생성형 AI,2026-06,온드미디어,보안 기획기사,https://www.linkedin.com/feed/update/urn:li:activity:7470387721887391744/,2026-06-10,2026-06-29 04:18:55
기업보안,2026-06,온드미디어,보안 기획기사,https://www.linkedin.com/feed/update/urn:li:activity:7470387721887391744/,2026-06-10,2026-06-29 04:19:39
AI 보안,2026-06,온드미디어,안랩 GSS,https://www.linkedin.com/feed/update/urn:li:activity:7472198464261484544,2026-06-15,2026-06-29 04:20:27
edr,2026-06,온드미디어,안랩 GSS,,2026-06-15,2026-06-29 04:23:15
Codex,2026-06,온드미디어,바이브코딩 워크숍,,2026-06-01,2026-06-29 04:27:27
프롬프트,2026-06,온드미디어,바이브코딩 워크숍,,2026-06-01,2026-06-29 04:33:02
코파일럿,2026-06,인터뷰,나델라 “모든 기업 자체 AI모델 구축해야…AI 독식은 안 돼”[이규화의...,https://www.dt.co.kr/article/12070172?ref=naver,2026-06-30,2026-06-30 07:00:21
MicrosoftAzure,2026-07,온드미디어,에쓰핀테크놀로지 MS 자격 취득,https://www.linkedin.com/feed/update/urn:li:activity:7480483921479004160,2026-07-08,2026-07-08 04:58:15
